"id","user_id","door_id","site_id","credential_id","event_type_id","event_time"
"76cdcbfd-8244-4d6f-9b82-98d598fd2967","d900b685-05d9-4e5b-9218-5d2d4732357f","71da8988-353e-4b76-8645-bc37349ab50d","03394a90-d26f-4dc4-85cf-7978b2a190fa","33057f87-d49d-4934-b700-751e34708713",0,"2021-12-15 13:28:01.000000"
"735cafea-f3bd-41c4-8df5-ba72ca242537","d900b685-05d9-4e5b-9218-5d2d4732357f","2fe45997-111d-47af-af44-17264f2b0280","5caf2a27-77e3-409e-90d0-3502bb974836","33057f87-d49d-4934-b700-751e34708713",0,"2021-12-15 14:09:38.000000"
"b557157c-90bf-444d-bf82-2c6aacc0cbe1","d900b685-05d9-4e5b-9218-5d2d4732357f","2fe45997-111d-47af-af44-17264f2b0280","5caf2a27-77e3-409e-90d0-3502bb974836","33057f87-d49d-4934-b700-751e34708713",0,"2021-12-15 14:35:19.000000"
"3a88afa8-3804-4292-a7c0-18c0861e1450","d900b685-05d9-4e5b-9218-5d2d4732357f","2fe45997-111d-47af-af44-17264f2b0280","5caf2a27-77e3-409e-90d0-3502bb974836","33057f87-d49d-4934-b700-751e34708713",0,"2021-12-15 15:01:28.000000"
"96370db6-d078-4994-9a17-4e987d9a0717","f9332328-9b98-437e-9602-ae2bf3cdac56","c41cb5ca-d354-4035-b5cb-b6cd617909fd","93da2780-c0a6-4fec-8c24-6a18dae02184","ed087d7d-9d32-4a2b-92eb-68e5aad5823a",0,"2021-12-15 13:20:21.000000"
"c139ab37-8b35-4691-9538-21d7cc7e15d6","f9332328-9b98-437e-9602-ae2bf3cdac56","2fe45997-111d-47af-af44-17264f2b0280","5caf2a27-77e3-409e-90d0-3502bb974836","ed087d7d-9d32-4a2b-92eb-68e5aad5823a",0,"2021-12-15 13:44:27.000000"
"e310cea7-db2d-4d41-b91d-0588b8f6a242","f9332328-9b98-437e-9602-ae2bf3cdac56","b63a53ca-d79d-44a2-b536-8f1a8b5d5114","a8cce99e-b939-49c3-98d8-7adf3610f12c","ed087d7d-9d32-4a2b-92eb-68e5aad5823a",0,"2021-12-15 14:02:52.000000"
"ee0b4733-f39a-40a3-83c5-0787578b34c2","f9332328-9b98-437e-9602-ae2bf3cdac56","2fe45997-111d-47af-af44-17264f2b0280","5caf2a27-77e3-409e-90d0-3502bb974836","ed087d7d-9d32-4a2b-92eb-68e5aad5823a",0,"2021-12-15 14:41:00.000000"
"d9767d1f-6349-4f37-b34e-46bacceb279e","ee8a13ec-18af-49e4-8ffc-842774f8652f","b63a53ca-d79d-44a2-b536-8f1a8b5d5114","a8cce99e-b939-49c3-98d8-7adf3610f12c","fbb17671-2f03-4f41-a5a0-742abf17869e",0,"2021-12-15 15:31:59.000000"
"fbfc308b-60eb-418d-add0-f5367500c5cb","ee8a13ec-18af-49e4-8ffc-842774f8652f","777b2603-b85e-44a2-bfdd-29e1fb817eaf","08714b00-48a3-4279-b7b0-71ba56d5a69e","fbb17671-2f03-4f41-a5a0-742abf17869e",0,"2021-12-15 15:55:54.000000"
